epoch;accuracy;loss;val_accuracy;val_loss
0;0.89404296875;0.2960495054721832;1.0;0.045078981667757034
1;0.96630859375;0.1758490800857544;1.0;0.0338410884141922
2;0.98046875;0.1511664092540741;1.0;0.02799513190984726
3;0.9833984375;0.14350645244121552;1.0;0.023231763392686844
4;0.9892578125;0.12936769425868988;1.0;0.01981450244784355
5;0.9912109375;0.11545663326978683;1.0;0.016453415155410767
6;0.9921875;0.11172403395175934;1.0;0.01411780621856451
7;0.99267578125;0.10203921794891357;1.0;0.01232767291367054
8;0.99365234375;0.09766152501106262;1.0;0.010842104442417622
9;0.9912109375;0.09573549777269363;1.0;0.009693823754787445
10;0.994140625;0.08772961795330048;1.0;0.008571075275540352
11;0.99365234375;0.08149745315313339;1.0;0.008153179660439491
12;0.9970703125;0.07531486451625824;1.0;0.00780781265348196
13;0.99267578125;0.07928094267845154;1.0;0.007781773805618286
14;0.99462890625;0.07747840881347656;1.0;0.007730315439403057
15;0.99755859375;0.06805296987295151;1.0;0.007188655436038971
16;0.99560546875;0.06698188185691833;1.0;0.005782239139080048
17;0.99609375;0.06671996414661407;1.0;0.006492167711257935
18;0.99560546875;0.06225953996181488;1.0;0.007204033434391022
19;0.99755859375;0.05854354053735733;1.0;0.006043384782969952
20;0.99560546875;0.05780316889286041;1.0;0.005967691075056791
21;0.99658203125;0.05559646338224411;1.0;0.008214754052460194
0;0.8466796875;0.3637619912624359;1.0;0.05864016339182854
1;0.919921875;0.2379971593618393;1.0;0.04906253144145012
2;0.9443359375;0.19577030837535858;1.0;0.04074183106422424
3;0.9658203125;0.16968223452568054;1.0;0.03358144313097
4;0.96484375;0.16111060976982117;1.0;0.027247164398431778
5;0.97607421875;0.1415807008743286;1.0;0.022114194929599762
6;0.982421875;0.1312265843153;1.0;0.018563132733106613
7;0.98583984375;0.11757230758666992;1.0;0.01481764018535614
8;0.986328125;0.1101318970322609;1.0;0.012184284627437592
9;0.98388671875;0.11005710065364838;1.0;0.010140536352992058
10;0.98681640625;0.09905654191970825;1.0;0.00871976837515831
11;0.98779296875;0.10229697823524475;1.0;0.007956732995808125
12;0.99560546875;0.0866507813334465;1.0;0.007322921417653561
13;0.9931640625;0.08830773085355759;1.0;0.0064609721302986145
14;0.99072265625;0.08465717732906342;1.0;0.0061805457808077335
15;0.986328125;0.08253683894872665;1.0;0.007998012006282806
16;0.99609375;0.07545916736125946;1.0;0.007800648920238018
17;0.994140625;0.07179886102676392;1.0;0.010859963484108448
18;0.99609375;0.06881530582904816;1.0;0.009435750544071198
19;0.99560546875;0.06418370455503464;1.0;0.013280235230922699
0;0.8681640625;0.3500097393989563;1.0;0.06386075168848038
1;0.9404296875;0.25689294934272766;1.0;0.047406382858753204
2;0.9638671875;0.22380474209785461;1.0;0.03709881752729416
3;0.96533203125;0.20258702337741852;1.0;0.031101521104574203
4;0.9775390625;0.18429076671600342;1.0;0.026642605662345886
5;0.98681640625;0.16695377230644226;1.0;0.023144613951444626
6;0.98828125;0.15683215856552124;1.0;0.020399129018187523
7;0.99169921875;0.14313361048698425;1.0;0.018116004765033722
8;0.99365234375;0.13935652375221252;1.0;0.016395367681980133
9;0.99072265625;0.13097092509269714;1.0;0.015971625223755836
10;0.99365234375;0.11800969392061234;1.0;0.014135350473225117
11;0.990234375;0.12340495735406876;1.0;0.013568832539021969
12;0.99365234375;0.11205527186393738;1.0;0.013413791544735432
13;0.99755859375;0.10530366003513336;1.0;0.013174254447221756
14;0.99658203125;0.10032051801681519;1.0;0.015589142218232155
0;0.71875;0.7475571632385254;0.02734375;8.553044319152832
1;0.8828125;0.6726557612419128;0.02734375;2.6638858318328857
2;0.89453125;0.5848618745803833;0.02734375;2.4404029846191406
3;0.8125;0.6295206546783447;0.02734375;2.6192586421966553
4;0.86328125;0.6012933254241943;0.02734375;2.9611964225769043
5;0.828125;0.6408641934394836;0.02734375;3.3359079360961914
6;0.9453125;0.6302696466445923;0.02734375;3.675689697265625
7;0.9140625;0.6446518898010254;0.02734375;3.95151424407959
0;0.55078125;0.8423908352851868;0.03125;1.0999062061309814
1;0.63671875;0.842151403427124;0.02734375;1.036068320274353
2;0.58203125;0.8214783668518066;0.02734375;1.305406093597412
3;0.57421875;0.6746299862861633;0.02734375;1.30934476852417
4;0.546875;0.8779473304748535;0.02734375;1.2797913551330566
5;0.57421875;0.7496525645256042;0.02734375;1.2177817821502686
6;0.57421875;0.7307323217391968;0.02734375;1.1191105842590332
0;0.763671875;0.5268786549568176;1.0;0.09992384910583496
1;0.84423828125;0.3582304120063782;1.0;0.06837882101535797
2;0.83251953125;0.37369662523269653;1.0;0.05364970862865448
3;0.8544921875;0.32479327917099;1.0;0.043866779655218124
4;0.85693359375;0.3338358700275421;1.0;0.03705659881234169
5;0.8671875;0.31860387325286865;1.0;0.03171514719724655
6;0.873046875;0.3114040791988373;1.0;0.027665819972753525
7;0.87451171875;0.2999565005302429;1.0;0.024887287989258766
8;0.87158203125;0.2909192740917206;1.0;0.02311905100941658
9;0.88427734375;0.2726384401321411;1.0;0.02193308249115944
10;0.896484375;0.2563999891281128;1.0;0.02264709398150444
11;0.89599609375;0.24774694442749023;1.0;0.023426400497555733
12;0.90234375;0.25423312187194824;1.0;0.02737446129322052
13;0.91259765625;0.24396707117557526;1.0;0.032229334115982056
14;0.91357421875;0.2416297197341919;1.0;0.04352494329214096
